"Day","Subject","Treat","Rep","Glucose","Galactose","Fructose","Xylose","Arabinose","Fucose","Rhamnose","GlcA","GalA","GlcNAc","GalNAc","Mannose","Allose","Ribose"
"d3","NoSub","ctl-f","A",0.00113475209579205,0.0159029592331975,0.00153982931403445,0,1.76993961357204e-05,0,0,0,6.0816363561622e-06,0,0,0.00425139676550146,0,2.65464483371628e-05
"d3","NoSub","ctl-f","B",0.000961062956267615,0.0171789878722161,0.00181361808913238,0,2.46874686168091e-05,0,0,0,0,0,0,0.00543824028050645,0,3.33883068986109e-05
"d3","NoSub","ctl-f","C",0.00121706334291045,0.0165749418813448,0.00134756298808234,0.000125342412526563,4.39156150616163e-05,0,0,0,0,0,0,0.0050247397249999,0,2.56590762036084e-05
"d0","Sub1","Sunfiber","A",0.0314363140660735,0.109157884774523,0.021485793207174,0,0.0069167759016226,0.00242948391687767,0.000496594637942461,0,0,0,0.000805397339318915,0.0088224589837419,0,0.0405231800652737
"d0","Sub1","Sunfiber","B",0.0288530094035236,0.098558504100139,0.0174448319871462,0,0.00577344144673665,0.00211037555163903,0.000464748561727589,0,0,0,6.9098216659008e-05,0.00783691846236785,0,0.034933840949326
"d0","Sub1","Sunfiber","C",0.0385984590461331,0.117279138116555,0.0215469549674762,0,0,0.00261862919383376,0.00062429333330787,0,0,0,0.000540838986319135,0.0105771162391315,0,0.0487936635008413
"d1","Sub1","Sunfiber","A",0.013217621864831,0.84565829248162,0.00767723092002135,0.0019902867853204,0.00330124339048224,0,0.000485977448854754,0.00011958975790079,0.000131367225400705,0,0.000778448808461695,0.0825297602504115,0,0.0073979902894926
"d1","Sub1","Sunfiber","B",0.0132741133764965,0.79933530291172,0.008018713732839,0.00167304669932885,0.00212293288352925,0,0.000461096691804315,0.000130102446250535,0.000167737593922538,0,0.00142788948990393,0.072917802176598,0,0.00782259028291795
"d1","Sub1","Sunfiber","C",0.0118019572405495,1.03247189948481,0.0112941138115702,0.00235570520837312,0.00353527956998184,0,0.000473706349150329,0,0.000169623895118761,0,0.00099981288271982,0.100433087683498,0,0.0085200773246403
"d2","Sub1","Sunfiber","A",0.0167369490972407,1.4461964746633,0.0102881487856231,5.6127149718032e-06,0.00392315956115743,0,0.000614503206296235,0,0,0.000541836303580175,0.00241505576259559,0.171871053200505,0,0.0094023594834039
"d2","Sub1","Sunfiber","B",0.0181144620055992,1.30998888490342,0.0111261103243102,0.00273612210624916,0.00319720547418321,0,0.000608295719617285,0,0,0,0.00214805592081501,0.145114888403346,0,0.0095236895879427
"d2","Sub1","Sunfiber","C",0.0149630275946722,1.55060465319985,0.0166975320457607,0,0.0041538986243503,0,0.000590996213725135,0,0,0,0.00218679223054508,0.197662756229987,0,0.0097356582848799
"d3","Sub1","Sunfiber","A",0.0179219294225928,1.68059949528327,0.0118879700694867,0,0.00394494659318319,0,0,0,0,0,0.000822561277037265,0.260621084497487,0,0.0104344503071251
"d3","Sub1","Sunfiber","B",0.0203707218517901,1.73642409178557,0.0147904498249774,0,0,0.00338912117137698,0,0,0,0,0.00123490954024293,0.216380089635369,0,0.0100119883071571
"d3","Sub1","Sunfiber","C",0.017928229635967,2.0369122802094,0.0249193784015381,0,0,0.00164676561848589,0,0.000170206647501843,0,0,0.00166931860422093,0.375368870959358,0,0.0122173987603188
"d0","Sub2","Sunfiber","A",0.0067289692926012,0.0519975086995295,0.0079958006412422,2.85041227007107e-05,0,0.00133354954391872,0.000147262960637319,0,0.00150018952809114,0.00157158243988199,0,0.0058826178285371,0,0.0156646834701962
"d0","Sub2","Sunfiber","B",0.00575172245740365,0.0419445337631866,0.00662297295515925,0.00207424245154813,0.00664021266305615,0.001324610441958,0.000123190021088168,0.000470920585223546,0.00140890276964587,0.00134194484566724,0,0.00484626343944881,0,0.0138470053962529
"d0","Sub2","Sunfiber","C",0.0070763618230656,0.055132095298632,0.00826263057312815,0.00288971548515016,0.0078605280806974,0.001449704764552,0.00015639471774096,0,0.00166309322520121,0,0.000251742884630283,0.0060460347507946,0,0.0174772687574026
"d1","Sub2","Sunfiber","A",0.00361544639859564,0.0289137018868022,0.0014188937353992,0.000488654783509297,0.00029994007177107,0.000229365431990504,0.000118216691430751,2.32408351159249e-05,3.3104701285215e-05,0,0,0.00252674518446913,0,0.0065532075882832
"d1","Sub2","Sunfiber","B",0.0043125791641496,0.0265408497208099,0.00137801865673338,0,0.000135887756358207,0,0.000128501180885454,0,2.60827260944182e-05,0,0,0.00252630290948348,0,0.00631912198882725
"d1","Sub2","Sunfiber","C",0.00373356714045229,0.0294986627179465,0.00161486443224226,0,0.000207213286799835,0,0.000130795473283776,0,1.13072490051935e-05,0.000106181646745353,4.92503510654322e-05,0.00277348763335407,0,0.0063485997741554
