"Subject","Day","Rep","Treat","Control_batch","Glucose","Galactose","Fructose","Xylose","Arabinose","Fucose","Rhamnose","GlcA","GalA","GlcNAc","GalNAc","Mannose","Allose","Ribose"
"Sub4","d3","C","Ctl-S",1,0.146624974158508,0.082848920889232,0,0.0351166732341529,0.0380750015530226,0.00800794531621435,0.103941202899131,0.0109607840631851,0,0.00427159961377271,0.00054744396437574,0.0345732030681912,0,0.0321728774411581
"Sub5","d0","A","Ctl-S",1,0.0369528370780393,0.0638390680471645,0,0.0108172680833113,0.0113536300469001,0.0083331052428775,0.0322200745247374,0,0,0.00335379330488084,0.00100772000927468,0.0115247972054078,0,0.0457524875921063
"Sub5","d0","B","Ctl-S",1,0.044788200153327,0.0726772893734905,0,0.00923383204034865,0.0118187097648267,0.0112412379789712,0.04307552901194,0,0,0.00196250696846196,0.000761102543119775,0.0161597756683043,0,0.058817936602277
"Sub5","d0","C","Ctl-S",1,0.0331738355922782,0.0532591336286255,0,0.00866469493302615,0.0090960978890995,0.00750065375498335,0.0375947069763241,0,0,0.00215542950148359,0,0.0199927113554447,0,0.054035215412701
"Sub5","d1","A","Ctl-S",1,0.034950948380657,0.0572521460503115,0,0.00906765048284565,0.0096121488224454,0.00679918101341405,0.0445575870928757,0,0,0.00330379164248565,0,0.0145001298016761,0,0.0443994267615863
"Sub5","d1","B","Ctl-S",1,0.040992466356571,0.0645780312633555,0,0.0087286286575394,0.0141376745214721,0.00864746020581855,0.0438750477145774,0.0010796323748437,0,0.00190763307951102,0.00060459116005672,0.018658613289421,0,0.0517464747058635
"Sub5","d1","C","Ctl-S",1,0.0393937102771327,0.054534947408877,0,0.0127176571539588,0.0106787271801499,0.00845124898285955,0.0468969415665933,0,0,0.00197703045331037,0.000637808436585745,0.0162434648010287,0,0.0505012194566115
"Sub5","d2","A","Ctl-S",1,0.0442298634463603,0.0665640743624335,0,0.0093765846404171,0.0128661520927062,0.0091554040653697,0.053329450182769,0.000958774615576835,0,0,0,0.0210529555692701,0,0.0564159626167305
"Sub5","d2","B","Ctl-S",1,0.0380014335076634,0.066650000417343,0,0.0113349337933382,0.0121889734805406,0.00939620772130275,0.0556253227029765,0.00148010637164686,0,0.00311782373845528,0,0.0221594859334877,0,0.056865515897853
"Sub5","d2","C","Ctl-S",1,0.043004775268863,0.0755198577348995,0,0.0112547770421229,0.0119429193873494,0.0100320037884263,0.060974243438551,0,0,0.00208095785833409,0,0.0212398621799488,0,0.0681688786164065
"Sub5","d3","A","Ctl-S",1,0.0501603560172035,0.0905814697459525,0,0.0128238886452401,0.0135906847985556,0.0133899577352494,0.059566734923031,0,0,0.00221957329240725,0.000457721797453415,0.0197669933542069,0,0.0621353652774605
"Sub5","d3","B","Ctl-S",1,0.047417752511173,0.0820187150535505,0,0.0102439621520038,0.0116587008779504,0.0113144943532665,0.0529500939174525,0,0,0.0021930460569808,0,0.0178195096407264,0,0.057889035074407
"Sub5","d3","C","Ctl-S",1,0.0486158106011662,0.085368923245168,0,0.0135263454210391,0.0127697744660137,0.0102109372428253,0.0572255894715505,0.00166136186890103,0,0.00250511056568835,0,0.0170266018495757,0,0.0597209338622815
"Sub1","d0","A","Ctl-S",2,0.063018895644292,0.0308052423851225,0,0.0100890168991691,0.0112870254949197,0.00479752493535551,0.00911630922724035,0,0.00221877964314548,0,0,0.00422912334794358,0,0.0133951839415507
"Sub1","d0","B","Ctl-S",2,0.0771059365515725,0.0437466112235815,0,0.0211793259570108,0.0191023977584151,0.00580445502165765,0.011528712773033,0,0.00239430543672636,0,0,0.00544104802601905,0,0.0162044632183136
"Sub1","d0","C","Ctl-S",2,0.0630280740080545,0.0324116155898775,0,0.0134801245187608,0.0106406987682257,0.005301297748815,0.00950990576351665,0,0.00185079505484792,0,0,0.0039814546956256,0,0.0138265945521707
