"Subject","Rep","Day","pH","Treat","subj_rep"
"Sub2","B","d3",6.17,"CocoFlour","Sub2B"
"Sub2","C","d0",6.89,"CocoFlour","Sub2C"
"Sub2","C","d1",6.62,"CocoFlour","Sub2C"
"Sub2","C","d2",6.44,"CocoFlour","Sub2C"
"Sub2","C","d3",6.24,"CocoFlour","Sub2C"
"Sub3","A","d0",7,"CocoFlour","Sub3A"
"Sub3","A","d1",5.83,"CocoFlour","Sub3A"
"Sub3","A","d2",6.02,"CocoFlour","Sub3A"
"Sub3","A","d3",5.93,"CocoFlour","Sub3A"
"Sub3","B","d0",6.96,"CocoFlour","Sub3B"
"Sub3","B","d1",5.85,"CocoFlour","Sub3B"
"Sub3","B","d2",6.01,"CocoFlour","Sub3B"
"Sub3","B","d3",5.91,"CocoFlour","Sub3B"
"Sub3","C","d0",6.94,"CocoFlour","Sub3C"
"Sub3","C","d1",5.76,"CocoFlour","Sub3C"
"Sub3","C","d2",6.01,"CocoFlour","Sub3C"
"Sub3","C","d3",5.9,"CocoFlour","Sub3C"
"Sub4","A","d0",7,"CocoFlour","Sub4A"
"Sub4","A","d1",6.5,"CocoFlour","Sub4A"
"Sub4","A","d2",6.63,"CocoFlour","Sub4A"
"Sub4","A","d3",6.57,"CocoFlour","Sub4A"
"Sub4","B","d0",6.96,"CocoFlour","Sub4B"
"Sub4","B","d1",5.45,"CocoFlour","Sub4B"
"Sub4","B","d2",6.64,"CocoFlour","Sub4B"
"Sub4","B","d3",6.57,"CocoFlour","Sub4B"
"Sub4","C","d0",6.94,"CocoFlour","Sub4C"
"Sub4","C","d1",6.43,"CocoFlour","Sub4C"
"Sub4","C","d2",6.44,"CocoFlour","Sub4C"
"Sub4","C","d3",6.54,"CocoFlour","Sub4C"
"Sub5","A","d0",7,"CocoFlour","Sub5A"
"Sub5","A","d1",6.42,"CocoFlour","Sub5A"
"Sub5","A","d2",6.44,"CocoFlour","Sub5A"
"Sub5","A","d3",6.34,"CocoFlour","Sub5A"
"Sub5","B","d0",6.98,"CocoFlour","Sub5B"
"Sub5","B","d1",6.4,"CocoFlour","Sub5B"
"Sub5","B","d2",6.36,"CocoFlour","Sub5B"
"Sub5","B","d3",6.36,"CocoFlour","Sub5B"
"Sub5","C","d0",6.98,"CocoFlour","Sub5C"
"Sub5","C","d1",6.31,"CocoFlour","Sub5C"
"Sub5","C","d2",6.4,"CocoFlour","Sub5C"
"Sub5","C","d3",6.3,"CocoFlour","Sub5C"
"Media only","A","d0",7.02,"Flax","Media onlyA"
"Media only","A","d1",6.74,"Flax","Media onlyA"
"Media only","A","d2",7.26,"Flax","Media onlyA"
"Media only","A","d3",7.15,"Flax","Media onlyA"
"Media only","B","d0",7.01,"Flax","Media onlyB"
"Media only","B","d1",6.72,"Flax","Media onlyB"
"Media only","B","d2",7.21,"Flax","Media onlyB"
"Media only","B","d3",7.14,"Flax","Media onlyB"
"Media only","C","d0",7.03,"Flax","Media onlyC"
"Media only","C","d1",6.72,"Flax","Media onlyC"
"Media only","C","d2",7.21,"Flax","Media onlyC"
"Media only","C","d3",7.13,"Flax","Media onlyC"
"Media & fiber","A","d0",6.77,"Flax","Media & fiberA"
"Media & fiber","A","d1",6.36,"Flax","Media & fiberA"
"Media & fiber","A","d2",6.82,"Flax","Media & fiberA"
"Media & fiber","A","d3",6.77,"Flax","Media & fiberA"
